review_text,sentiment
The waiter was very professional and made our dining experience enjoyable.,good
He walked into the room and took a seat by the window.,
"The chocolate chip cookies were warm and gooey, with plenty of chocolate chips.",good
The pizza was greasy and the toppings were sparse. The service was slow and the restaurant was too loud.,bad
"The chocolate mousse was rich and creamy, with a perfect texture.",good
The crème brûlée was perfectly creamy and had a deliciously crispy sugar top.,good
"The ambiance was serene and peaceful, perfect for a quiet dinner.",good
"The burger was juicy and the ambiance was cozy, though the wait time was longer than expected.",good
"I had the best burger here, juicy and flavorful. The sweet potato fries were a nice touch.",good
"The ambiance was chaotic, with loud music and too much commotion.",bad
"The chicken was dry and lacked any seasoning, making it quite unappetizing. The restaurant was too noisy to enjoy a conversation. The service was subpar and disorganized.",bad
"The restaurant had a warm and inviting feel, with comfortable seating and tasteful decor.",good
I really enjoyed the meal here. The ingredients were fresh and the taste was excellent.,good
"The ambiance was too bright, making it feel more like a fast food joint.",bad
She opened the book and began to read the first chapter.,
I absolutely loved the food here! The flavors were amazing and the service was excellent.,good
"The ambiance was great and the burger was tasty, though the fries were a bit undercooked.",good
"The ambiance was too chaotic, with too many distractions.",bad
"The wine selection was excellent, though the meal itself was disappointing.",bad
The chicken was dry and lacked seasoning. The ambiance was uninviting and the waitstaff was inattentive.,bad
"We had an awful dinner here. The food was bad, and the staff made us feel unwelcome.",bad
"The restaurant had a charming and rustic feel, with beautiful wooden furniture.",good
"We had a delightful dinner. The roasted duck was cooked to perfection, and the service was top-notch.",good
The chicken was dry and tasteless. The ambiance was dull and the staff was inattentive.,bad
"The ambiance was lively and upbeat, with great decor and a fun crowd.",good
"The seafood platter was amazing, especially the grilled salmon and shrimp. The clam chowder was also a highlight.",good
The pizza was greasy and the crust was soggy. The decor was outdated and unappealing.,bad
"The steak was tender and the service was efficient, but the wait time was longer than expected.",good
"The ambiance was elegant, and the lamb chops were divine. The service was impeccable and made our visit special.",good
The lamb chops were dry and overcooked. The ambiance was cold and uninviting. The waitstaff was inattentive and unprofessional.,bad
"The steak was overcooked and tough, making it hard to enjoy. However, the mashed potatoes were creamy and well-seasoned. The service was slow and inattentive, which was disappointing.",bad
The seafood linguine was packed with fresh flavors. The stylish decor made for an enjoyable dining experience.,good
"The seafood was fresh and the decor was stylish, but the dessert was underwhelming.",good
The risotto was undercooked and lacked seasoning. The ambiance was uninviting and the service was subpar.,bad
"The seafood platter was fresh and flavorful, with generous portions. The staff was attentive and the decor was beautiful.",good
"The steak was perfectly cooked, and the mashed potatoes were creamy and flavorful. The ambiance was cozy and inviting, making it a great place for a date night. The waitstaff was attentive and knowledgeable, providing excellent service. Overall, a fantastic dining experience.",good
"The filet mignon was tender and cooked exactly to order, accompanied by delicious sides. The cozy ambiance made for a perfect date night. The waiter was attentive and very knowledgeable about the menu.",good
"The pizza was delicious and the staff was attentive, but the music was a bit loud.",good
The grilled shrimp skewers were perfectly cooked and packed with flavor.,good
"The Caesar salad was fresh and crisp, with a tangy dressing and plenty of parmesan.",good
"The lamb chops were overcooked and dry, with a lackluster mint sauce.",bad
The duck confit was tender and crispy. The elegant decor made for a wonderful dining experience.,good
"The decor was outdated and shabby, making the place feel run-down.",bad
The burger was dry and tasteless. The sweet potato fries were cold and undercooked.,bad
"The decor was bland and boring, making the place feel unwelcoming.",bad
"The roasted chicken was juicy and flavorful, with a delicious crispy skin. The cozy, rustic decor added to the warm atmosphere. The waitstaff was friendly and efficient.",good
The steak was tough and overcooked. The mashed potatoes were lumpy and the vegetables were underseasoned.,bad
"The meatloaf was dry and overcooked, with a bland gravy.",bad
"The shrimp and grits were creamy and perfectly seasoned, with a generous portion of shrimp.",good
The sushi was poorly made and the fish did not taste fresh. The decor was uninspired and boring. The service was slow and the waiter was rude. We had a very disappointing experience.,bad
"The shrimp scampi was excellent, with a perfect balance of garlic and lemon.",good
The lobster ravioli was rich and delicious. The modern decor added a touch of elegance.,good
"The service was fast and efficient, and our waiter was very friendly.",good
The grilled vegetables were fresh and perfectly seasoned. The stylish decor added to the enjoyment.,good
"The barbecue ribs were fall-off-the-bone tender, with a delicious smoky flavor. The rustic, cozy decor was very inviting. The service was prompt and very friendly.",good
The steak was tough and the sides were cold. The ambiance was sterile and the service was slow.,bad
The lamb chops were tender and full of flavor. The rustic decor gave the restaurant a charming feel.,good
"The pasta was cooked to perfection, and the tiramisu was a perfect ending to our meal. The ambiance was lovely and relaxing.",good
"The steak was tender and cooked just right. The service was excellent, and the cozy atmosphere made for a great evening.",good
"The ambiance was charming and the risotto was excellent, but the wait time was longer than expected.",good
